productName,defaultPrice,image
Xương rồng bánh sinh nhật 3-5cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_2712_7cc444d5753543eea6dd18757eaca04f_large.jpg
Xương rồng bánh sinh nhật sẵn nụ/hoa 9-11cmcm (chậu nhựa),"100,000₫",
Combo sen vỉ ngẫu nhiên đủ loại (không chậu),"30,000₫",https://product.hstatic.net/1000187613/product/img_3951_d856b76e8b354298a5aeb5a3bd9e8c3d_large.jpg
Combo 20 sen đá cỡ nhỏ ngẫu nhiên (bịch nhựa),"250,000₫",https://product.hstatic.net/1000187613/product/img_7534_d378d9c026cb47d294f158f53a8db297_large.jpg
Combo 10 loại sen đá cỡ nhỏ ngẫu nhiên (bịch nhựa),"130,000₫",https://product.hstatic.net/1000187613/product/img_7546_870476515ae140fab19656ffbc77db4b_large.jpg
Combo 6 loại sen cỡ vừa ngẫu nhiên (chậu nhựa),"180,000₫",https://product.hstatic.net/1000187613/product/img_7522_8521c62a84e94ae28b73555dc5933932_large.jpg
Sen guốc 9-11cm (chậu nhựa/bịch nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_9661_large.jpg
Sen ngọc lá dài 9-11cm (chậu nhựa/bịch nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_5634_04dde11c465449a9ba12d1521b60fb7e_large.jpg
Hồng mập cỡ vừa 9-11cm (chậu nhựa),"60,000₫",https://product.hstatic.net/1000187613/product/img_3308_9e398dbaeaf24b4283432ebd490d8f91_large.jpg
Sen hoa hồng nâu 11-13cm (chậu nhựa),"80,000₫",https://product.hstatic.net/1000187613/product/img_8572_ee6683b0b40d407183038b508ae6b092_large.jpg
Sen ngọc trinh 11-13cm (chậu nhựa),"100,000₫",https://product.hstatic.net/1000187613/product/img_5549_8f6c92a8b6804603ae19784af48e42c8_large.jpg
Hoa hồng đen 5-7cm (Chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_5000_00f2501db54347ed9f035a8d7c002882_large.jpg
Tay gấu nhăn 5-7cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/img_1544_large.jpg
Sen dù kim 9-11cm (chậu nhựa),"40,000₫",https://product.hstatic.net/1000187613/product/upload_adc402bc838840eaa3c1a0f97ae0e7ba_large.jpg
Sen phật bà bụi 9-11cm (chậu nhựa/bịch nhựa),"50,000₫",https://product.hstatic.net/1000187613/product/upload_54ba90adea054ab4aed5a27a9e9f14ba_large.jpg
Sen hồng mập chậu lớn (chậu nhựa),"150,000₫",
Sen viền cam 11-13cm (chậu nhựa),"80,000₫",
Sen bánh bông lan 3-5cm (bịch nhựa),"15,000₫",
Sen tứ phương,"15,000₫",https://product.hstatic.net/1000187613/product/img_0696_copy_large.jpg
Viền tím giống mới 3-5cm (bịch nhựa),"15,000₫",
Sen đá giọt nước cá heo (bịch nhựa),"25,000₫",
Xương rồng thần long 7-9cm (chậu nhựa),"90,000₫",https://product.hstatic.net/1000187613/product/img_3867_5ab0c70e33bf40d4b64751f2878282fc_large.jpg
Xương rồng tân thiên địa 4-5cm (chậu nhựa),"50,000₫",
Haworthia 4-5cm Ms 12 (chậu nhựa),"80,000₫",
Haworthia 4-5cm Ms 11 (chậu nhựa),"80,000₫",
Haworthia 4-5cm Ms 08 (chậu nhựa),"80,000₫",
Xương rồng mix 4 loại ngẫu nhiên (chậu nhựa),"120,000₫",
Xương rồng đuôi khỉ (chậu nhựa),"90,000₫",https://product.hstatic.net/1000187613/product/img_7183_041ecba161ee4afea88086ce2652e722_large.jpg
Xương rồng thanh sơn (bịch nhựa/chậu nhựa),"30,000₫",https://product.hstatic.net/1000187613/product/img_7245_aa0ebd40c43849edba81254d0d501dc5_large.jpg
Xương rồng bánh sinh nhật bụi (chậu nhựa),"150,000₫",
Xương rồng trái vải 3-5cm (chậu nhựa),"25,000₫",https://product.hstatic.net/1000187613/product/img_0268_afc5418bf66e4034bc32e5dc664c8aed_large.jpg
Xương rồng bánh sinh nhật 3-4cm (chậu nhựa),"25,000₫",https://product.hstatic.net/1000187613/product/img_8944_b8f5b33fcc044ca3a5cb62f0b064c17c_large.jpg
