"products_image","products_productName","products_productName_url","products_defaultPrice","products_description"
"https://product.hstatic.net/1000187613/product/img_2711_98b0c517052d4fbd82a90320b32f3b41_large.jpg","Xương rồng bánh sinh nhật 3-5cm (chậu nhựa)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/xuong-rong-banh-sinh-nhat-3-5cm-chau-nhua","40,000₫","Chưa có mô tả cho sản phẩm này"
"https://product.hstatic.net/1000187613/product/img_2703_02e268470fe54b4e879e10148c862881_large.jpg","Xương rồng bánh sinh nhật sẵn nụ/hoa 9-11cmcm (chậu nhựa)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/xuong-rong-banh-sinh-nhat-san-nu-hoa-7-9cm-chau-nhua","100,000₫","Chưa có mô tả cho sản phẩm này"
"https://product.hstatic.net/1000187613/product/img_4402_695d8f5056d04cbb979137441f3851c8_large.jpg","Combo sen vỉ ngẫu nhiên đủ loại (không chậu)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/combo-5-nhanh-sen-vi-du-loai-khong-chau","30,000₫",""
"https://product.hstatic.net/1000187613/product/img_7541_85d229f69cd2458f95018a1755979ec0_large.jpg","Combo 20 sen đá cỡ nhỏ ngẫu nhiên (bịch nhựa)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/combo-20-sen-da-co-nho-ngau-nhien-bich-nhua","250,000₫",""
"https://product.hstatic.net/1000187613/product/img_7549_1d5c9df486b542ba81fa54cdab9c3e55_large.jpg","Combo 10 loại sen đá cỡ nhỏ ngẫu nhiên (bịch nhựa)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/combo-10-loai-sen-da-co-nho-ngau-nhien-bich-nhua","130,000₫",""
"https://product.hstatic.net/1000187613/product/img_7523_69f72ec0fc8247c18ad81e91ca44c0c0_large.jpg","Combo 6 loại sen cỡ vừa ngẫu nhiên (chậu nhựa)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/combo-6-loai-sen-co-vua-ngau-nhien-chau-nhua","180,000₫",""
"https://product.hstatic.net/1000187613/product/img_1068_0245596320bc434bbc393506692983f7_large.jpg","Sen guốc 9-11cm (chậu nhựa/bịch nhựa)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/sen-guoc-bui","40,000₫",""
"https://product.hstatic.net/1000187613/product/img_1066_66ac802eb1074c4fb72624cd2254b5bd_large.jpg","Sen ngọc lá dài 9-11cm (chậu nhựa/bịch nhựa)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/sen-ngoc-la-dai-9-11cm-chau-nhua-bich-nhua","40,000₫","Chưa có mô tả cho sản phẩm này"
"https://product.hstatic.net/1000187613/product/img_1070_703ec0602bd54a37ae8855792865866e_large.jpg","Hồng mập cỡ vừa 9-11cm (chậu nhựa)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/hong-map-co-vua-7-9cm-chau-nhua","60,000₫",""
"https://product.hstatic.net/1000187613/product/img_1074_9de8fb81dcc541d08826b927eaae266e_large.jpg","Sen hoa hồng nâu 11-13cm (chậu nhựa)","https://www.vuonsenda.vn/collections/cay-trong-bich-nhua-chau-nhua/products/sen-hoa-hong-nau-11-13cm-chau-nhua","80,000₫","Chưa có mô tả cho sản phẩm này"
